date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:46	297/297	---M-Z	200	added ('OK')	text/plain	date:Sat,%2026%20Sep%202020%2016:40:29%20GMT	https://atmanirbhar.org/robots.txt		(from )
17:05:47	63928/63928	---M-Z	200	added ('OK')	text/html	etag:W/%223b9fc98c049143b2da6bde7105966c58%22	https://atmanirbhar.org/	C:/My%20Web%20Sites/PARC%20Website/atmanirbhar.org/index.html	(from )
17:05:47	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Mon,%2028%20Sep%202020%2011:35:48%20GMT	http://static1.squarespace.com/static/5e01f7481c79407e08d2cca0/t/5e0709c274877f00dbb3d778/1577519557081/Logos-Reverse+Cropped.jpg?format=1500w	C:/My%20Web%20Sites/PARC%20Website/static1.squarespace.com/static/5e01f7481c79407e08d2cca0/t/5e0709c274877f00dbb3d778/1577519557081/Logos-Reverse+Cropped.026f7.delayed	(from https://atmanirbhar.org/)
17:05:49	19378/19378	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2028%20Sep%202020%2011:35:49%20GMT	http://use.typekit.net/ik/N1W-asGh8VHX9FxfhiTJ6gpNswwmZ_dkAipsKXZ0nlGfeC3IfFHN4UJLFRbh52jhWDm8w2BcFDbtwAwa5Qb3Fh935ebkjhFywg7wMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0-hBCZPuXjW43dhtlF1TKFkoDSWmyScmDSeBRZPoRdhXCHKoDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0jhNlOeBRiA8XpWFR-emqiAUTdcS0dcmXOeBDOcu8OeBXdAB0-W4K-eBkOcNkZkUnjAU8OWsyS1gzdKXhpcJaO1FUiABkZWF3jAF8OcFzdPUCdhFydeyzSabCSaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80ZkoRdhXCiaiaOcBRiA8XpWFR-emqiAUTdcS0dcmXOYiaikoySkolZPUaiaS0jWsljAoTSc4GjWJ0da41OYiaikonjAU8OWsyS1gzdKXhpcJaO1FUiABkZWF3jAF8OcFzdPUaiaS0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPJwSY4zpe8ljPu0daZyJy4yZeNKZPu1jW4ydAN0Zfu3Scv7fbKzMsMMeMb6MKGHfO2IMsMMeM96MKG4fHXgIMMjgKMfH6qJK3IbMg6YJMJ7fbK0MsMMegM6MKG4fJ3gIMMjIPMfH6qJvDbbMs6IJMJ7fbR3FgMgeMS6MKG4fVJXIMIj2KMfH6qJvQbbMs6sJMHbMdasUxqB.js	C:/My%20Web%20Sites/PARC%20Website/use.typekit.net/ik/N1W-asGh8VHX9FxfhiTJ6gpNswwmZ_dkAipsKXZ0nlGfeC3IfFHN4UJLFRbh52jhWDm8w2BcFDbtwAwa5Qb3Fh935ebkjhFywg7wMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0-hBCZPuXjW43	(from https://atmanirbhar.org/)
17:05:54	47822/47822	---M--	200	added ('OK')	image/jpeg	etag:CIP6vOjfvusCEAE=	https://images.squarespace-cdn.com/content/5e01f7481c79407e08d2cca0/1577519555475-LOD9U94XWUGI7Y0MLQNT/Logos-Reverse+Cropped.jpg?content-type=image%2Fjpeg	C:/My%20Web%20Sites/PARC%20Website/images.squarespace-cdn.com/content/5e01f7481c79407e08d2cca0/1577519555475-LOD9U94XWUGI7Y0MLQNT/Logos-Reverse+Croppedee8a.jpg	(from https://atmanirbhar.org/)
17:05:54	513264/513264	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Sep%202020%2011:35:54%20GMT	http://static1.squarespace.com/static/sitecss/5e01f7481c79407e08d2cca0/71/52a74dafe4b073a80cd253c5/5e01f7481c79407e08d2ccb5/1038-05142015/1601113341155/site.css?&filterFeatures=false	C:/My%20Web%20Sites/PARC%20Website/static1.squarespace.com/static/sitecss/5e01f7481c79407e08d2cca0/71/52a74dafe4b073a80cd253c5/5e01f7481c79407e08d2ccb5/1038-05142015/1601113341155/site8696.css	(from https://atmanirbhar.org/)
17:05:59	202046/202046	---M-Z	200	added ('OK')	text/javascript	etag:%22f78372610412cfbeaab1ad102ec16924%22	http://assets.squarespace.com/universal/scripts-compressed/performance-d006a09b586a985da86bd-min.en-US.js	C:/My%20Web%20Sites/PARC%20Website/assets.squarespace.com/universal/scripts-compressed/performance-d006a09b586a985da86bd-min.en-US.js	(from https://atmanirbhar.org/)
17:06:10	95786/95786	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	C:/My%20Web%20Sites/PARC%20Website/ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	(from https://atmanirbhar.org/)
17:06:16	293430/293430	---M-Z	200	added ('OK')	application/javascript	etag:W/%22573f46fe-47a36%22	https://code.jquery.com/jquery-1.12.4.js	C:/My%20Web%20Sites/PARC%20Website/code.jquery.com/jquery-1.12.4.js	(from https://atmanirbhar.org/)
17:06:18	803544/803544	---M-Z	200	added ('OK')	text/javascript	etag:%222c5d907aca5eab1faa939a1c67901cda%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-a4a6a154b60d89855f557-min.en-US.js	C:/My%20Web%20Sites/PARC%20Website/assets.squarespace.com/universal/scripts-compressed/common-vendors-a4a6a154b60d89855f557-min.en-US.js	(from https://atmanirbhar.org/)
